Sbj,E,EA,AE,AEA
FM011,n.a.,0.341127047,n.a.,0.25650861
FM012,n.a.,0.397949975,n.a.,0.323963207
FM013,n.a.,0.335539567,n.a.,0.276422929
FM014,n.a.,0.337346383,n.a.,0.239376292
FM015,n.a.,0.330865903,n.a.,0.327877773
FM016,n.a.,0.453891419,n.a.,0.21276261
FM017,n.a.,0.340482376,n.a.,0.281825603
FM018,n.a.,0.29639487,n.a.,0.30513338
FM019,n.a.,0.354932512,n.a.,0.199055586
FM020,n.a.,0.369706236,n.a.,0.288231303
FM027,n.a.,0.366300198,n.a.,0.302899481
FM028,n.a.,0.395336591,n.a.,0.352547383
FM029,n.a.,0.390031909,n.a.,0.374894632
FM030,n.a.,0.354620908,n.a.,0.409442112
FM031,n.a.,0.422434524,n.a.,0.357676683
FM037,n.a.,0.321215934,n.a.,0.353001693
FM038,n.a.,0.396046673,n.a.,0.400053606
FM039,n.a.,0.36389304,n.a.,0.334637773
FM040,n.a.,0.313844225,n.a.,0.194267602
FM041,n.a.,0.395832659,n.a.,0.41391166
